,종목코드,PBR,PER,PCR,PSR,PBR_RANK,PER_RANK,PCR_RANK,PSR_RANK
0,A053060,1.92,6.909999847412109,6.916666666666667,0.14262802153740406,72.0,58.0,58.0,10.0
1,A115570,0.57,7.050000190734863,7.057553956834532,1.2287074148296593,18.0,61.0,61.0,56.0
2,A065690,0.52,5.010000228881836,5.016260162601626,0.4392084282460137,13.0,38.0,38.0,28.0
3,A032960,0.81,6.159999847412109,6.169604573606479,2.589482103579284,39.5,53.0,53.0,70.0
4,A016100,0.63,1.75,1.7516152189519023,0.2554973821989529,24.0,2.5,2.0,17.0
5,A026040,1.44,2.2100000381469727,2.2171468728039354,0.3633118378627361,65.0,5.0,5.0,22.0
6,A032750,0.65,4.920000076293945,4.9219620958751396,2.9433333333333334,26.0,37.0,37.0,72.0
7,A079650,1.55,7.380000114440918,7.38544474393531,1.37,67.0,67.0,67.0,60.0
8,A054930,0.58,4.579999923706055,4.584882280049566,1.2333333333333334,20.5,31.0,31.0,57.0
9,A023790,0.96,2.359999895095825,2.361543248288737,0.4877265133016322,45.5,7.0,7.0,32.0
10,A012620,0.49,3.180000066757202,3.18075117370892,6.159090909090909,11.0,16.0,16.0,79.0
11,A031310,0.55,2.930000066757202,2.934131736526946,0.47694366711278746,15.5,12.0,12.0,30.0
12,A048470,1.02,3.990000009536743,3.9975247524752477,1.292,48.0,25.0,25.0,59.0
13,A060380,1.16,3.6600000858306885,3.669574700109051,0.3416243654822335,56.0,21.0,21.0,21.0
14,A094970,1.17,5.090000152587891,5.099626400996264,0.4890136135657989,57.0,39.0,39.0,33.0
15,A045060,0.79,7.900000095367432,7.901353965183753,0.4822904368358914,38.0,77.0,77.0,31.0
16,A147760,1.50,5.96999979019165,5.975503062117236,1.2627102976520614,66.0,52.0,52.0,58.0
17,A215790,0.98,7.980000019073486,7.982832618025751,0.09234893997318902,47.0,79.0,79.0,8.0
18,A054040,0.74,4.260000228881836,4.261363636363637,0.6067205973864344,33.5,27.0,27.0,39.0
19,A043260,1.07,7.630000114440918,7.63819095477387,0.05692457493820688,49.0,73.5,74.0,4.0
20,A032940,0.43,0.6700000166893005,0.6729475100942126,0.4947229551451187,6.5,1.0,1.0,34.0
21,A023460,0.61,3.509999990463257,3.5191082802547773,0.023763440860215052,22.0,18.0,18.0,1.0
22,A037350,0.31,3.859999895095825,3.86231884057971,0.6890756302521008,2.0,22.0,22.0,45.0
23,A208140,1.21,6.920000076293945,6.92,0.79406364749082,58.0,59.0,59.0,49.0
24,A004780,0.72,7.730000019073486,7.73121387283237,0.6728713369387499,32.0,75.0,75.0,44.0
25,A010240,1.13,6.820000171661377,6.8247821878025166,1.144294757344587,53.5,56.0,56.0,55.0
26,A123410,0.71,5.909999847412109,5.911654135338346,1.129669540229885,30.5,50.0,50.0,54.0
27,A190650,1.09,4.590000152587891,4.590984974958264,0.43049467752035064,51.5,32.0,32.0,27.0
28,A127710,0.70,3.630000114440918,3.630952380952381,0.20194663311924782,29.0,20.0,20.0,16.0
29,A024800,0.32,2.140000104904175,2.140326009922041,0.19310697614937017,3.0,4.0,4.0,15.0
30,A004590,0.82,4.329999923706055,4.33173406442769,4.213333333333333,41.0,28.0,28.0,76.0
31,A017650,0.52,4.860000133514404,4.86745886654479,2.3666666666666667,13.0,35.0,35.0,67.0
32,A137940,0.78,2.240000009536743,2.2454545454545456,0.15347334410339256,37.0,6.0,6.0,13.0
33,A053700,0.44,5.289999961853027,5.294117647058823,0.5546700669429391,8.0,41.0,41.0,36.0
34,A065510,1.08,7.119999885559082,7.123169681309216,1.3920215451944118,50.0,63.0,63.0,61.0
35,A017480,0.57,3.9700000286102295,3.976499690785405,0.7519588352239505,18.0,24.0,24.0,47.0
36,A032680,2.60,7.079999923706055,7.083333333333333,0.14553237025147137,77.0,62.0,62.0,11.0
37,A049430,0.66,5.869999885559082,5.874741200828157,2.508841732979664,27.0,49.0,49.0,69.0
38,A019010,0.39,2.5299999713897705,2.5372279495990835,0.09190871369294606,5.0,8.0,8.0,7.0
39,A039830,0.92,7.550000190734863,7.555217060167555,1.8435235086415165,44.0,71.0,71.0,64.0
40,A024810,0.48,2.7100000381469727,2.711864406779661,0.07668344116942248,9.5,9.0,9.0,6.0
41,A009780,1.09,7.789999961853027,7.795566502463054,0.7193181818181819,51.5,76.0,76.0,46.0
42,A024910,1.30,5.619999885559082,5.621621621621622,0.1742140823049863,59.0,45.0,45.0,14.0
43,A206400,1.79,6.869999885559082,6.870805369127517,0.29964876335430995,70.0,57.0,57.0,19.0
44,A005710,0.35,2.9700000286102295,2.970347648261759,0.5799560790576962,4.0,14.0,14.0,38.0
45,A065950,1.60,7.460000038146973,7.4640287769784175,0.29401346085724406,68.0,68.0,68.0,18.0
46,A093190,0.63,4.650000095367432,4.656716417910448,0.648716082752885,24.0,33.0,33.0,43.0
47,A069920,2.41,5.920000076293945,5.9245283018867925,0.36474870285758537,76.0,51.0,51.0,23.0
48,A016250,0.57,1.75,1.7539797395079595,5.987550637288805,18.0,2.5,3.0,78.0
49,A036090,1.31,5.380000114440918,5.384615384615385,0.02781321232146218,60.0,42.0,42.0,2.0
50,A101930,0.76,2.890000104904175,2.898397976391231,2.947481243301179,35.0,10.0,10.0,73.0
51,A225220,2.11,3.0299999713897705,3.033026286227814,2.8224963412084465,73.0,15.0,15.0,71.0
52,A005990,0.43,2.9000000953674316,2.9044893040072313,1.4054526898964863,6.5,11.0,11.0,62.0
53,A052790,0.83,3.930000066757202,3.9303482587064678,2.0917917034421887,42.0,23.0,23.0,65.0
54,A092870,1.39,4.420000076293945,4.427171341669483,2.5009545628102328,63.5,29.0,29.0,68.0
55,A123570,2.14,4.889999866485596,4.895104895104895,0.565631172562399,74.0,36.0,36.0,37.0
56,A036640,1.39,6.75,6.755695208169678,1.0517304634951694,63.5,55.0,55.0,52.0
57,A035610,0.96,6.449999809265137,6.455089820359281,0.3942363955529549,45.5,54.0,54.0,24.0
58,A073560,0.71,5.400000095367432,5.405063291139241,0.061673118031082094,30.5,43.0,43.0,5.0
59,A072870,0.52,7.190000057220459,7.199322416713721,2.139261744966443,13.0,64.0,64.0,66.0
60,A064820,0.88,3.5199999809265137,3.528368794326241,0.3220064724919094,43.0,19.0,19.0,20.0
61,A068790,0.68,2.9600000381469727,2.968313140726934,0.5184763145043139,28.0,13.0,13.0,35.0
62,A352700,1.74,3.4700000286102295,3.471629042098841,0.3969029017857143,69.0,17.0,17.0,25.0
63,A039340,1.13,5.820000171661377,5.828476269775187,0.6086956521739131,53.5,47.5,48.0,40.0
64,A241520,2.68,7.21999979019165,7.221542227662178,0.42430780294857967,78.0,65.0,65.0,26.0
65,A082850,1.33,7.0,7.0078740157480315,0.15086024239342316,61.0,60.0,60.0,12.0
66,A043650,0.74,7.289999961853027,7.298507462686567,1.0953074252435884,33.5,66.0,66.0,53.0
67,A124560,2.89,4.550000190734863,4.550989345509893,4.592933947772657,79.0,30.0,30.0,77.0
68,A270870,2.23,7.909999847412109,7.919768403639371,4.172113289760349,75.0,78.0,78.0,75.0
69,A043370,0.30,4.159999847412109,4.166666666666667,0.8238095238095238,1.0,26.0,26.0,51.0
70,A160980,1.14,7.539999961853027,7.54590237348858,3.084950567557671,55.0,70.0,70.0,74.0
71,A011370,0.58,5.21999979019165,5.228571428571429,0.036275695284159616,20.5,40.0,40.0,3.0
72,A007330,0.63,7.610000133514404,7.613424487259167,0.8122264951597932,24.0,72.0,72.0,50.0
73,A137950,1.87,5.820000171661377,5.8259687287559485,0.7697835264528878,71.0,47.5,47.0,48.0
74,A126600,1.34,7.53000020980835,7.538022813688213,0.6411189263481284,62.0,69.0,69.0,42.0
75,A037460,0.81,7.630000114440918,7.632398753894081,1.4743049705139006,39.5,73.5,73.0,63.0
76,A095500,0.77,5.489999771118164,5.490654205607477,0.45472136222910214,36.0,44.0,44.0,29.0
77,A021320,0.48,4.710000038146973,4.716553287981859,0.09719626168224299,9.5,34.0,34.0,9.0
78,A012700,0.55,5.650000095367432,5.655899802241266,0.6227770922552079,15.5,46.0,46.0,41.0
